respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.17433701327865422,0.4247251767418331
26708,0.02810839781617122,0.09779132574888379
26709,0.4609705199869987,0.7224191870115448
26710,0.4154250835864488,0.7498026565562911
26711,0.28991759189010974,0.456965426499414
26712,0.5321649800906973,0.8352906532111476
26713,0.375932872137647,0.6377217092700764
26714,0.14421195732596764,0.2343973468333301
26715,0.06663233876732197,0.2549086754175333
26716,0.1553201027988385,0.7249009985502382
26717,0.07050783775999182,0.41161348652317964
26718,0.22953016711941815,0.4880992972266497
26719,0.18039369366422206,0.689416401142322
26720,0.06158625501685301,0.3082789541028332
26721,0.3378226533238028,0.5044190626538912
26722,0.07668685058332946,0.20703560167985202
26723,0.5906619442836781,0.8014555753211233
26724,0.09793731211616173,0.7207355143142423
26725,0.08763273449094808,0.16379664373361705
26726,0.18267385125997535,0.19013770815190653
26727,0.28529070910235094,0.7802663485309854
26728,0.15327770739729027,0.4496663166541241
26729,0.3270418488295387,0.4731944606018872
26730,0.08404552918101374,0.27431598063211504
26731,0.058055125507504766,0.3600822548513419
26732,0.14772640151798172,0.3006631795303295
26733,0.8141996104472912,0.9039127139902614
26734,0.495599437550293,0.45876571473698396
26735,0.11678733531513354,0.41922757272344036
26736,0.06876328553380638,0.213297208742225
26737,0.07444259244106627,0.22881951298419995
26738,0.5492935527927275,0.6987224661765106
26739,0.09092610903716984,0.2489847045338718
26740,0.16282800610216952,0.26504877985131653
26741,0.26190280303599833,0.7925531896131066
26742,0.07921985962399307,0.28238329103049614
26743,0.06068652515732726,0.32381082979336506
26744,0.17247039424814084,0.6347305498923376
26745,0.2464502144930423,0.7646573407103472
26746,0.16292131296898757,0.2575845913761011
26747,0.07328683433973801,0.2162122893084862
26748,0.09784820477652315,0.14268864236899018
26749,0.1548444821807483,0.49455781127133736
26750,0.5502326575223256,0.8477212331918987
26751,0.4234114482169531,0.6750954882879786
26752,0.07215949001906899,0.22220912293906322
26753,0.1823431961759084,0.6070403430532662
26754,0.30512797856464446,0.46283856772258075
26755,0.10028607468719118,0.467788367113523
26756,0.04536890954648766,0.09807876994369201
26757,0.3669283485761182,0.5507768844449088
26758,0.458308081323943,0.691142817912661
26759,0.05423602466921028,0.2090467526385442
26760,0.08916401179883185,0.16850292425764027
26761,0.31716584212413573,0.6837986922549942
26762,0.11628169999845657,0.5578723180261602
26763,0.6309364576102616,0.8656444234302292
26764,0.6832722625521831,0.8450700983346234
26765,0.21692382160930465,0.6010854506572714
26766,0.14926574905315865,0.20106072949726048
26767,0.6996912272375116,0.6882787516983828
26768,0.13952871338621903,0.42286511332413945
26769,0.18867057468381387,0.3310696670960884
26770,0.19458191261097568,0.5243080149143791
26771,0.11070443091769708,0.2897521566781836
26772,0.08845421836289435,0.4221089509796173
26773,0.09600741310433239,0.3847801137705231
26774,0.12735696893722842,0.39680640077160007
26775,0.07188297070012868,0.40463984523161073
26776,0.27308923955529885,0.41073660190834205
26777,0.15419677597443612,0.6476180529676958
26778,0.1456564035804699,0.14535242045885188
26779,0.1358948864308029,0.5551155746770856
26780,0.273427882632234,0.7576370610974682
26781,0.1346394783467561,0.457242326442288
26782,0.07848939293214136,0.3349219683883063
26783,0.06797351228288386,0.2668534043067484
26784,0.370220646870619,0.7153891040467006
26785,0.32410769191635624,0.5241177699399807
26786,0.12821014060388286,0.2838575590784673
26787,0.09731946068697683,0.5888913697726385
26788,0.14486687397258455,0.6806464923716828
26789,0.08064500021242006,0.3804519615732438
26790,0.09159285229846016,0.24376609858910797
26791,0.08288272032731346,0.15795484009049532
26792,0.19477148469198774,0.6621812486627049
26793,0.1778117508457548,0.8386878141453633
26794,0.5952486286070642,0.7999470779508063
26795,0.19600835485555904,0.6949336715331902
26796,0.05272564204610192,0.1574265581849114
26797,0.2543197855482571,0.5937963884148175
26798,0.21746525573307982,0.24702123900697323
26799,0.27943598223914196,0.3156900132125835
26800,0.10962910919306498,0.8373296696901358
26801,0.25652247620775503,0.405217115093239
26802,0.05261044857745653,0.23570057078872883
26803,0.0783806239641343,0.23135343533134797
26804,0.052234006633874536,0.18473471173641415
26805,0.0960524255891489,0.18357973821470464
26806,0.1509888259902179,0.8096303881728875
26807,0.4613955571536901,0.7943160340195047
26808,0.16761631607644492,0.43097125250573237
26809,0.39152405060721407,0.3408790958262552
26810,0.0681991890090758,0.14043250996394258
26811,0.0914846475163664,0.2803438462653618
26812,0.16489088195649643,0.588242857576621
26813,0.31539630718094797,0.5466335183277131
26814,0.08100516500494838,0.6257596621941282
26815,0.0275762184764438,0.10063318259164271
26816,0.13311359810351042,0.3333990022419833
26817,0.12045776672992865,0.5846667126140807
26818,0.0977951144892078,0.2647461300714185
26819,0.25755759792853694,0.36317539573961277
26820,0.10868820469635761,0.24803568401731657
26821,0.09209407681106438,0.5055293625425565
26822,0.23162682126028802,0.5719128651706648
26823,0.2962743788222397,0.4348286166203674
26824,0.11186658190259947,0.5989873151815006
26825,0.3347220442370628,0.5226724986595443
26826,0.14286399428607371,0.5823570747772343
26827,0.06147033906646827,0.16545293565753472
26828,0.16379011834649795,0.5085657871812516
26829,0.5469283546902937,0.8924777666055119
26830,0.08738123807449329,0.671008770716134
26831,0.2804400950148252,0.6810590391640932
26832,0.2266730500309208,0.7206216861852274
26833,0.08128973234502122,0.4277114982582448
26834,0.25911675976513016,0.5312428657906988
26835,0.47000894625331263,0.7702050085705427
26836,0.2118829412949323,0.5558244479889768
26837,0.19263648434797814,0.1517413479856507
26838,0.10778643908202869,0.4860542493075443
26839,0.2425785740440778,0.4106234045755662
26840,0.050426852066787625,0.1594279646731544
26841,0.44906557974452277,0.6227892913268105
26842,0.07540617824227953,0.2095978725619744
26843,0.08119026630218296,0.13003290645305676
26844,0.1461468691715471,0.297813146077011
26845,0.1301170194136361,0.5790763223470606
26846,0.09455488899571352,0.738804082409037
26847,0.2743540251879746,0.2736280296649044
26848,0.1460345289873556,0.6261050303057992
26849,0.29732389265571824,0.5162751307646712
26850,0.5393909937960774,0.5665405634346485
26851,0.04413347802881637,0.12742598704406982
26852,0.04904666090421725,0.13562830522832392
26853,0.35808433876148243,0.5391898547224969
26854,0.056926072483678994,0.13895105219618484
26855,0.5090456535866269,0.757500358560852
26856,0.1644208936955617,0.1767981453053641
26857,0.26226292474874346,0.28088479933602006
26858,0.2654314792230255,0.5523019646369396
26859,0.06150005352524708,0.16233378316032476
26860,0.19253670026727998,0.21325285533787713
26861,0.07789866431390977,0.20005156956893472
26862,0.08682365789797952,0.32133310323189973
26863,0.1973310320110605,0.4189141937797868
26864,0.3482436920931428,0.41770989235579864
26865,0.03971888712553999,0.1380781966482543
26866,0.1254594238247498,0.5752108035185526
